BpHYR1_000024	coiled-coil domain-containing CG32809-like isoform X3	coiled-coil domain-containing protein	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_000072	RT11110p	-	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_000112	Retrovirus-related Pol poly from transposon 412	Retrovirus-related Pol poly from transposon	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_000190	dnaJ homolog subfamily B member 9	dnaJ -like protein	
BpHYR1_000200	disks large homolog 2 isoform X1	disks large -like protein	
BpHYR1_000201	disks large homolog 1 isoform X4	disks large -like protein	
BpHYR1_000210	3)-fucosyltransferase 6-like	Alpha-(1-3)-fucosyltransferase 6-like	FATAL: SUSPECT_PRODUCT_NAMES: 28 features contain unbalanced brackets or parentheses
BpHYR1_000304	radial spoke head 3 homolog	radial spoke head 3 -like protein	
BpHYR1_000321	nuclear pore membrane glyco 210 isoform X2	nuclear pore membrane glycoprotein	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_000361	insulin-induced gene 2	insulin-induced protein 2	
BpHYR1_000391	ferredoxin-fold anticodon-binding domain-containing 1 homolog	ferredoxin-fold anticodon-binding domain-containing 1 -like protein	
BpHYR1_000429	UPF0536 C12orf66 homolog	C12orf66 (H. sapiens) -like protein	
BpHYR1_000432	zinc finger 226-like isoform X3	zinc finger protein 226 -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_000437	BET1 homolog	BET1 -like protein	
BpHYR1_000466	gastrulation defective 1 homolog	gastrulation defective 1 -like protein	
BpHYR1_000503	eyes shut homolog	eyes shut -like protein	
BpHYR1_000520	HET	HET -like protein	SUSPECT_PRODUCT_NAMES: 57 features are all capital letters
BpHYR1_000532	serum response factor homolog	serum response factor -like protein	
BpHYR1_000680	UPF0378 KIAA0100	UPF0378 protein KIAA0100 -like	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
BpHYR1_000758	atonal homolog 7	atonal -like protein	
BpHYR1_000761	dnaJ homolog subfamily B member 8	dnaJ -like protein	
BpHYR1_000996	6)-fucosyltransferase	alpha-(1-6)-fucosyltransferase	FATAL: SUSPECT_PRODUCT_NAMES: 28 features contain unbalanced brackets or parentheses
BpHYR1_001033	centrosomal of 135 kDa isoform X1	-	SUSPECT_PRODUCT_NAMES: 430 features contains three or more numbers together that may be identifiers more appropriate in note
